food_name,cuisine,fiber_g,fat_g,protein_g,carbs_g,sugar_g,GI,GL
"Custard apple, raw",american,3.0,0.68,1.57,17.71,12.87,54.0,8.0
"Danish Pastry, Apple and Peach",american,1.9,18.5,5.4,47.8,27.5,50.0,15.0
Doughnut,american,1.8,22.9,5.52,49.5,23.5,75.0,23.0
"French Fries, baked (OreIda)",american,2.0,5.48,2.75,25.6,0.37,64.0,13.0
"Fruit Salad, canned (peach/pear/apricot/pineapple/cherry)",american,1.0,0.07,0.39,18.91,17.91,54.0,8.0
Fruit and Muesli bread (Bürgen),american,10.0,5.0,6.67,35.0,8.33,53.0,8.0
"Grapes, Crimson seedless",american,0.9,0.16,0.72,18.1,15.48,50.0,8.0
"Grapes, green, Menidee, seedless",american,0.9,0.16,0.72,18.1,15.48,54.0,8.0
Hommus dip,american,5.5,17.82,7.78,15.0,0.62,22.0,3.0
"Ice cream, premium chocolate, 15% fat",american,1.2,11.0,3.8,28.2,25.4,37.0,7.0
Manuka honey MGO 440+,american,0.2,0.0,0.3,82.4,82.12,65.0,3.0
"Maple syrup, pure Canadian",american,0.0,0.0,0.0,67.38,59.92,54.0,3.0
"Microwave popcorn, butter flavor",american,10.2,30.6,9.13,55.0,0.61,51.0,13.0
"Milk, reduced fat",american,0.0,1.9,3.36,4.9,4.89,26.0,3.0
Mixed Grain bread roll (Bürgen),american,3.8,6.0,9.6,44.6,6.25,52.0,8.0
Muesli bread (packet mix),american,10.0,5.0,6.67,35.0,8.33,54.0,8.0
Multigrain batch bread,american,7.4,4.23,13.4,43.3,6.39,62.0,9.0
"Multigrain bread, gluten-free",american,4.3,5.24,4.31,45.8,3.53,79.0,12.0
Oat bran concentrate bread,american,4.5,4.4,10.4,39.8,7.7,64.0,10.0
"Oats, rolled, uncooked",american,10.1,6.52,13.15,67.7,0.99,59.0,12.0
Orange juice,american,0.3,0.15,0.68,11.01,8.76,41.0,8.0
Peanut Butter Granola bars (Kudos),american,2.6,20.78,5.88,64.69,44.29,45.0,11.0
"Peas, plain and frozen",american,4.5,0.27,5.15,14.26,4.4,29.0,3.0
"Pineapple, raw",american,0.93,0.21,0.46,14.09,11.42,82.0,12.0
"Pizza base, oven-baked (Boboli)",american,1.2,1.18,7.06,48.24,1.18,52.0,16.0
Raisins,american,4.5,0.25,3.3,79.3,65.2,61.0,9.0
Rice Bubbles (Kellogg's),american,0.4,1.21,6.96,79.8,9.85,85.0,17.0
"Rye bread, Pumpernickel",american,6.5,3.1,8.7,47.5,0.53,49.0,7.0
"Soft pretzel, wheat",american,1.7,3.1,8.2,69.39,0.25,66.0,10.0
"Strawberries, fresh, raw",american,2.0,0.3,0.67,7.68,4.89,40.0,6.0
"Sweet corn, cooked in microwave",american,2.4,1.5,3.41,20.98,4.54,51.0,10.0
"Tomato soup, condensed, prepared with water (Campbell's)",american,0.9,0.41,0.65,3.64,2.01,52.0,10.0
"Watermelon, raw",american,0.4,0.15,0.61,7.55,6.2,55.0,8.0
Weet-Bix breakfast biscuit,american,12.4,2.01,11.37,78.96,0.94,69.0,14.0
White bread,american,2.3,3.59,9.43,49.2,5.34,59.0,9.0
"White sourdough bread, gluten free",american,4.3,5.24,4.31,45.78,3.53,63.0,9.0
"Yoghurt, Greek style, honey topped",american,0.0,0.0,8.0,14.0,12.67,36.0,7.0
"Yoghurt, black cherry",american,0.0,3.0,3.33,13.33,10.0,17.0,3.0
"Yoghurt, bourbon vanilla",american,0.0,1.25,4.93,13.8,13.8,64.0,13.0
"Yoghurt, natural, no added sugar",american,0.0,3.25,3.47,4.66,4.66,17.0,2.0
Basmati rice (Dreamrice),south_asian,1.12,0.21,3.18,31.3,0.28,56.0,25.0
Basmati rice (Laila),south_asian,1.12,0.21,3.18,31.3,0.28,66.0,30.0
"Basmati rice (microwave), with coconut sambol - India",south_asian,1.63,2.43,3.21,29.94,0.6,43.0,15.0
"Basmati rice (microwave), with coconut sambol - Pakistan",south_asian,1.63,2.43,3.21,29.94,0.6,56.0,20.0
"Basmati rice (rice cooker), with coconut sambal",south_asian,1.63,2.43,3.21,29.94,0.6,64.0,22.0
"Basmati rice (rice cooker), with coconut sambol",south_asian,1.63,2.43,3.21,29.94,0.6,54.0,19.0
"Basmati rice pilau, with onion and curry powder",south_asian,1.12,0.21,3.18,31.3,0.28,60.0,21.0
"Basmati rice, white, boiled (Mahatma)",south_asian,1.12,0.21,3.18,31.3,0.28,58.0,26.0
"Basmati rice, white, boiled (SunRice)",south_asian,1.12,0.21,3.18,31.3,0.28,59.0,27.0
"Basmati rice, white, polished, cooked 10 min",south_asian,1.12,0.21,3.18,31.3,0.28,50.0,23.0
"Broken wheat upma, with green gram, chutney",south_asian,3.77,6.71,5.34,25.02,0.63,39.0,14.0
Butter chicken,south_asian,0.36,15.8,12.49,5.41,4.96,0.0,0.0
Butter paneer (paneer makhani),south_asian,0.59,21.28,7.69,5.39,4.93,0.0,0.0
Chana masala,south_asian,4.48,3.57,3.22,10.18,1.45,35.0,8.0
"Chapati, flatbread",south_asian,8.41,1.13,7.83,47.53,1.33,63.0,22.0
"Chapati, flatbread with 10% fenugreek",south_asian,11.39,1.48,9.17,44.72,1.27,43.0,15.0
Chapatti,south_asian,8.41,1.13,7.83,47.53,1.33,58.0,20.0
Chapatti (Elephant Atta Medium flour),south_asian,8.41,1.13,7.83,47.53,1.33,68.0,24.0
"Chapatti, wheat flour, thin, with green gram dhal",south_asian,8.41,1.13,7.83,47.53,1.33,44.0,15.0
"Cheela, bengal gram",south_asian,10.1,3.54,14.37,31.15,0.69,42.0,15.0
"Cheela, bengal gram, fermented batter",south_asian,10.1,3.54,14.37,31.15,0.69,45.0,16.0
"Cheela, green gram",south_asian,6.25,0.9,15.92,35.06,0.63,36.0,13.0
"Cheela, green gram, fermented batter",south_asian,6.25,0.9,15.92,35.06,0.63,38.0,13.0
Chicken curry (generic),south_asian,1.03,12.92,12.14,2.89,1.69,0.0,0.0
Chicken tikka masala,south_asian,0.36,15.8,12.49,5.41,4.96,0.0,0.0
"Chickpeas (Garbanzo beans, Bengal gram), canned",south_asian,10.09,2.04,7.51,15.82,0.4,38.0,6.0
"Chickpeas, canned, drained",south_asian,10.09,2.04,7.51,15.82,0.4,35.0,5.0
Dal makhani,south_asian,7.09,3.15,7.81,16.39,0.69,30.0,5.0
"Dhokla, chickpea and wheat semolina",south_asian,5.93,3.8,9.92,21.04,2.25,35.0,12.0
"Dhokla, parboiled rice, Bengal gram, green gram, with chutney",south_asian,5.31,2.0,9.73,31.69,0.58,37.0,13.0
"Dosa, foxtail millet and black gram dhal",south_asian,3.49,1.04,5.62,27.78,0.52,42.0,15.0
"Dosa, rice and black gram dhal",south_asian,2.31,0.37,5.3,31.77,0.33,55.0,19.0
"Dosai (parboiled and raw rice), with chutney",south_asian,2.4,0.79,5.28,31.5,0.39,55.0,19.0
Finger millet extruded snack,south_asian,11.18,1.92,7.16,66.82,0.34,65.0,16.0
Finger millet flakes upma,south_asian,4.26,9.09,3.0,24.88,0.14,82.0,29.0
Finger millet upma,south_asian,4.26,9.09,3.0,24.88,0.14,85.0,30.0
Finger millet vermicelli upma,south_asian,4.26,9.09,3.0,24.88,0.14,66.0,23.0
"Idli (parboiled and raw rice, black dhal), with chutney",south_asian,2.44,0.68,4.79,31.09,0.36,60.0,21.0
"Idli, brown, parboiled rice and black gram dhal, with sambar",south_asian,2.4,0.35,4.85,31.05,0.32,48.0,17.0
"Laddu (popped amaranth, foxtail millet, legume, fenugreek)",south_asian,7.51,3.34,10.9,64.72,21.85,24.0,8.0
"Lentils, Mothbean, sprouted, cooked in buttermilk",south_asian,6.05,0.7,7.9,20.84,0.54,30.0,11.0
"Lentils, brown, canned, drained",south_asian,6.73,0.26,9.0,19.39,0.65,42.0,6.0
Naan bread,south_asian,2.04,0.56,7.67,55.01,1.33,71.0,25.0
Palak paneer,south_asian,1.52,9.73,7.59,2.85,1.54,0.0,0.0
"Parantha, radish, wheat/mothbean/Bengal gram, with curd",south_asian,7.86,1.48,8.28,38.06,1.35,41.0,14.0
"Paratha, frozen, heated in dry pan",south_asian,8.41,1.13,7.83,47.53,1.33,53.0,19.0
"Pilaf porridge, whole grain",south_asian,1.77,0.5,3.66,29.92,0.28,59.0,21.0
"Poha, rice flakes with ground nuts",south_asian,4.6,21.17,10.2,54.6,1.21,43.0,15.0
"Pongal, rice and roasted green gram dhal",south_asian,2.22,3.23,5.84,27.18,0.32,45.0,16.0
"Poori, deep-fried wheat dough, with potato palya",south_asian,5.64,4.44,5.23,33.78,0.91,57.0,20.0
"Porridge, decorticated finger millet, with gram mix",south_asian,4.47,0.77,2.86,26.73,0.14,66.0,23.0
"Porridge, scoured wheat, with gram mix",south_asian,4.49,0.59,4.24,25.89,0.71,39.0,14.0
"Puttu/Pittu, industrially-milled finger millet flour",south_asian,6.87,7.37,3.96,32.31,1.13,79.0,28.0
"Puttu/Pittu, stone-ground finger millet flour",south_asian,6.87,7.37,3.96,32.31,1.13,67.0,23.0
"Rajmah (kidney beans), boiled",south_asian,6.63,0.71,7.96,19.44,0.61,19.0,7.0
Rice dosa,south_asian,2.31,0.37,5.3,31.77,0.33,76.0,27.0
Rice idli (commercial dry mix),south_asian,2.06,0.33,4.84,31.66,0.31,85.0,30.0
"Roti (unleavened flatbread), whole wheat flour",south_asian,8.41,1.13,7.83,47.53,1.33,45.0,7.0
"Roti, 75% rice flour and 25% soy flour",south_asian,5.55,3.96,11.0,45.84,0.85,36.0,13.0
"Stringhoppers, red rice flour, with sambol/egg/gravy",south_asian,2.65,7.5,5.51,32.22,1.19,73.0,26.0
"Tahlipeeth, wheat/bengal gram/green gram, with chutney",south_asian,8.63,2.55,9.91,43.8,1.32,31.0,11.0
Tandoori chicken,south_asian,0.0,13.06,19.32,1.62,1.36,0.0,0.0
"Unpolished foxtail millet, plain cooked",south_asian,2.56,1.02,3.57,26.48,0.52,89.0,40.0
"Unpolished little millet, plain cooked",south_asian,3.09,1.56,4.05,26.22,0.15,89.0,40.0
"Upittu, roasted semolina and onions",south_asian,3.51,5.31,3.93,22.71,1.66,69.0,24.0
Upma,south_asian,3.77,6.56,4.52,25.94,0.62,71.0,25.0
